instanceId;objectId;brandModelId;manufacturer;model;serialNumber;spec;yom;infleetStartDate;infleetEndDate;purpose;status;opco;ownerType;ownerSource;ownerId;objectUri;brandModelUri;modelVersionUri;ownerObjectId;customsDocumentNumber;borderLocationId;importDate;transportHeight;transportLength;transportWidth;engineType;registrationNumber;standardConfigurationId;modelGroupId;modelGroupName;depot;rasterLocation
"06c80d6bec90413eb6e22a66ee6a30d8";"B11371";;X;"2AGV403";;CE;;;;RENTAL;RECEIVED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/06c80d6bec90413eb6e22a66ee6a30d8";;;;;;;;;;;;;;;"BE007";"GA06"
"5d35b9b052faff0001006d06";"E50091";;X;;;CE;;;;RENTAL;RECEIVED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5d35b9b052faff0001006d06";;;;;;;;;;;;;;;"BE003";"71V"
"e4ca3a7ccbe149fab1e561d1a97ce60b";"E67581";;X;;;CE;;;;RENTAL;RECEIVED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/e4ca3a7ccbe149fab1e561d1a97ce60b";;;;;;;;;;;;;;;"BE003";"71V"
"5ba4b2b8aab0e70009380a7d";"B10652";;X;"1RTU560";;CE;;;;RENTAL;RECEIVED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b2b8aab0e70009380a7d";;;;;;;;;;;;;;;"BE003";"70S"
"5ba4b2b8aab0e70009380a7c";"B10651";;X;"1RTU542";;CE;;;;RENTAL;RECEIVED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b2b8aab0e70009380a7c";;;;;;;;;;;;;;;"BE009";"NVE01"
"5ba4b165aab0e7000937fc95";"B11042";;X;"1UQV471";;CE;;;;RENTAL;RECEIVED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b165aab0e7000937fc95";;;;;;;;;;;;;;;"BE007";"GA03"
"5ba4b297aab0e7000938092b";"B10347";;X;"1NGN943";;CE;;;;RENTAL;RECEIVED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b297aab0e7000938092b";;;;;;;;;;;;;;;"BE007";"GA01"
"5ba4b3a6aab0e7000938122d";"B10456";;X;"1NTD520";;CE;;;;RENTAL;RECEIVED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b3a6aab0e7000938122d";;;;;;;;;;;;;;;"BE009";"GN03"
"5ba4b1b4aab0e7000937ffc9";"B10370";;X;"1NTD520";;CE;;;;RENTAL;RECEIVED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b1b4aab0e7000937ffc9";;;;;;;;;;;;;;;"BE009";"GN03"
"5ba4b420c7fc4100078a77dd";"B10423";;X;"1LUE850";;CE;;;;RENTAL;RECEIVED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b420c7fc4100078a77dd";;;;;;;;;;;;;;;"BE007";"GA06"
